uuid,datetime,severity,message
f35d7808-a4a6-4c4d-a515-1ff538a97bbd,2016-09-20 16:23:10,INFO,Some info message
288c1c4c-0190-4285-bfcc-60a408c59eef,2016-09-20 16:23:10,WARNING,Some warning message
45fdcf51-c5b7-48b2-872a-773a6b5e1180,2016-09-20 16:23:10,ERROR,Some error message
9ea00de2-fd51-48aa-a3db-fd17dc3fe17e,2016-09-20 16:23:10,INFO,Some info message
9edafdc5-02b6-4dcd-b0f8-647c94e77428,2016-09-20 16:23:10,WARNING,Some warning message
07fdf4c1-3d24-45ec-b0f6-6e1dc2f76280,2016-09-20 16:23:10,ERROR,Some error message
9d6f5e58-9411-4c4a-acf4-12345acc02c1,2016-09-20 16:23:10,INFO,Some info message
75edb80a-1a5b-47d5-bc88-616553e124c2,2016-09-20 16:23:10,WARNING,Some warning message
606207d6-9928-4b71-be7f-fe722472e153,2016-09-20 16:23:10,ERROR,Some error message
b30930e1-618d-46cd-8dc9-e55d996cf037,2016-09-20 16:23:10,INFO,Some info message
a41bf1fa-cf41-4c52-a1e2-5b3fd598691f,2016-09-20 16:23:10,WARNING,Some warning message
9091d103-b55a-4ab9-ad11-7651afc3478e,2016-09-20 16:23:10,ERROR,Some error message
e05f3a10-f28f-4f22-aa7b-cfcb4c2e09cd,2016-09-20 16:23:10,INFO,Some info message
30338369-4b64-4762-ae2f-fa5d05cac745,2016-09-20 16:23:10,WARNING,Some warning message
0afd80fc-3fd2-4d19-9903-c3c60567e87b,2016-09-20 16:23:10,ERROR,Some error message
cd906d4a-dadc-4c53-a674-a930ce8f0ac4,2016-09-20 16:23:10,INFO,Some info message
446f6909-39a2-4db7-91b0-634e3ec9c18a,2016-09-20 16:23:10,WARNING,Some warning message
fbba0aa4-ec4d-4463-8b80-c136e54263f4,2016-09-20 16:23:10,ERROR,Some error message
e1cba98f-9355-43dc-8ac5-49137b0994a9,2016-09-20 16:23:10,INFO,Some info message
fad1717b-e44b-4271-8fc0-b038af941e90,2016-09-20 16:23:10,WARNING,Some warning message
46ff6e4d-387b-4495-9a55-81b52a40f68d,2016-09-20 16:23:10,ERROR,Some error message
85e81bc8-6640-4d2c-b667-8102ec82d13c,2016-09-20 16:23:10,INFO,Some info message
f1315119-cc61-4771-bf82-8d0266a48eda,2016-09-20 16:23:10,WARNING,Some warning message
81aacb34-3adb-406e-8d3d-7f8d47e1acf0,2016-09-20 16:23:10,ERROR,Some error message
452adcd1-e8ce-484c-8b0c-857b7374bf7e,2016-09-20 16:23:10,INFO,Some info message
ed764ff9-2cdb-4e92-b62d-d53512d254b8,2016-09-20 16:23:10,WARNING,Some warning message
8a092dd0-69d9-48f2-95ad-37605ad0cfb8,2016-09-20 16:23:10,ERROR,Some error message
112749e7-ac17-4aaf-a0a7-4a16b888b6b7,2016-09-20 16:23:10,INFO,Some info message
1cae1936-6179-4d1b-a908-51a6aaa9d219,2016-09-20 16:23:10,WARNING,Some warning message
7904a2a2-4bd4-4a36-a1cb-9cbed5bbd7d6,2016-09-20 16:23:10,ERROR,Some error message
ee2cba11-99ca-49bd-8f01-4e69c6bc2062,2016-09-20 16:23:10,INFO,Some info message
95e16845-230d-4ea5-80e0-c9a80c3c9348,2016-09-20 16:23:10,WARNING,Some warning message
9a6456d5-3021-45ea-b791-d12579cea2a1,2016-09-20 16:23:10,ERROR,Some error message
1ec55968-8d1d-4281-aa8d-9c4f0151dfab,2016-09-20 16:23:10,INFO,Some info message
385f26a3-b155-4fa6-9e82-0e99ec6583d2,2016-09-20 16:23:10,WARNING,Some warning message
b57dc699-ea4c-4fb6-9ad0-31e5cbfa5ee8,2016-09-20 16:23:10,ERROR,Some error message
49fdf1ba-24c7-4960-8fa0-87ac9daebbc1,2016-09-20 16:23:10,INFO,Some info message
4e49363c-f6a5-40ba-8d52-330243f3bf25,2016-09-20 16:23:10,WARNING,Some warning message
85c020e0-04b9-42ba-8f26-04280b508144,2016-09-20 16:23:10,ERROR,Some error message
54fda21b-87fa-468f-95b4-8c6bb5d929d5,2016-09-20 16:23:10,INFO,Some info message
6f65e6d4-fc39-4eab-88f1-a899057a73bb,2016-09-20 16:23:10,WARNING,Some warning message
f72f1b09-2195-4172-ad54-95e157563874,2016-09-20 16:23:10,ERROR,Some error message
3d82d142-96b3-4b7a-bab2-6ed3a39010ce,2016-09-20 16:23:10,INFO,Some info message
d7d649c0-5812-43f2-b102-59a099664357,2016-09-20 16:23:10,WARNING,Some warning message
91be90c0-a2c9-41e5-ab96-73df5df4170a,2016-09-20 16:23:10,ERROR,Some error message
c1f7acee-6098-443d-a336-db5661bcefac,2016-09-20 16:23:10,INFO,Some info message
1cc45e62-f680-42a0-9ce7-17d3f5ef0505,2016-09-20 16:23:10,WARNING,Some warning message
f3e46404-c669-4a8e-8f5d-8335d3914e8a,2016-09-20 16:23:10,ERROR,Some error message
59eeee59-0c7a-4aa4-ada2-e1dc073edede,2016-09-20 16:23:10,INFO,Some info message
